hotel name,city,certification,score,review rate,reviews,room type,occupancy,Free cancellation,pay at the property,No prepayment needed,rooms left,nights/adults,price,location rate,bb included
The Gibson Hotel,"Dublin City Centre, Dublin",Sustainability certification,8.6,Excellent,"1,201 reviews",Superior Double Room,1 full bed,Free cancellation,,,,"1 night, 2 adults",€ 329,Location 9.3,
Carrick Plaza Suites and Apartments,Carrick on Shannon,,8.7,Excellent,"1,015 reviews",Classic Quadruple Room,4 twin beds,,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 209,Location 9.6,
Maldron Hotel Portlaoise,Portlaoise,Sustainability certification,7.8,Good,"1,941 reviews",Standard Double Single Room,"2 beds (1 twin, 1 full)",Free cancellation,– pay at the property,No prepayment needed,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 199,,
"Treacys Oakwood Hotel, Shannon",Shannon,,8.1,Very Good,"1,737 reviews",Triple Room,"2 beds (1 twin, 1 full)",,,,,"1 night, 2 adults",€ 220,,
Bonnington Hotel & Leisure Centre,Dublin,,7.5,Good,"5,317 reviews",Classic Double or Twin Room,Beds: 1 double or 2 twins,,,,,"1 night, 2 adults",€ 312,,
Lawlors Hotel,Dungarvan,,7.1,Good,"1,277 reviews",Double Room,1 full bed,,,,,"1 night, 2 adults",€ 222,,Breakfast included
Abbey Hotel Donegal,Donegal,,7.7,Good,"2,241 reviews",Twin Room - Room Only,"2 beds (1 twin, 1 full)",,,,Only 7 rooms left at this price on our site,"1 night, 2 adults",€ 165,,
The River Lee Hotel a member of The Doyle Collection,Cork,Sustainability certification,8.7,Excellent,"2,393 reviews",Classic Double Room with River View,2 full beds,,,,,"1 night, 2 adults",€ 266,Location 9.3,
Flynns of Termonfeckin Boutique Hotel,Termonfeckin,•  •  •  •,8.6,Excellent,"1,056 reviews",One-Bedroom Cottage,"2 beds (1 sofa bed, 1 queen)",Free cancellation,– pay at the property,No prepayment needed,Only 1 left at this price on our site,"1 night, 2 adults",€ 270,,Breakfast included
"Radisson BLU Hotel & Spa, Sligo",Sligo,Sustainability certification,8.5,Very Good,"4,299 reviews",Standard Room,Beds: 1 double or 2 twins,Free cancellation,,,,"1 night, 2 adults",€ 213,,Breakfast included
Bush Hotel,Carrick on Shannon,,8.4,Very Good,"1,678 reviews",Standard Double Room,1 full bed,,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 279,Location 9.5,
The Club at Goffs,Kill,,9.2,Wonderful,543 reviews,Standard Twin Room,2 twin beds,,,,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 330,,Breakfast included
The Montenotte Hotel,Cork,Sustainability certification,8.8,Excellent,"2,173 reviews",Executive Room,1 king bed,Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 325,,
Fairways Hotel Dundalk,Dundalk,Sustainability certification,8.5,Very Good,"1,624 reviews",Double or Twin Room,"2 beds (1 twin, 1 full)",,,,,"1 night, 2 adults",€ 171,,
Leonardo Hotel Dublin Christchurch,"Dublin City Centre, Dublin",Sustainability certification,8.4,Very Good,"1,198 reviews",Standard Twin Room,"2 beds (1 twin, 1 full)",Free cancellation,,,,"1 night, 2 adults",€ 300,Location 9.6,
The Glenside Hotel,Drogheda,,8.5,Very Good,778 reviews,Family Room,"2 beds (1 twin, 1 full)",,,,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 207,,Breakfast included
Beresford Hotel,"Dublin City Centre, Dublin",,7.5,Good,"10,962 reviews",Twin Room,2 twin beds,,,,,"1 night, 2 adults",€ 234,,
Killashee Hotel,Naas,,8.4,Very Good,"2,714 reviews",Double or Twin Room,2 full beds,Free cancellation,– pay at the property,No prepayment needed,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 265,,Breakfast included
Mulroy Woods Hotel,Milford,,7.9,Good,565 reviews,Deluxe Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 129,,Breakfast included
Kilronan Castle Hotel & Spa,Ballyfarnon,,8.9,Excellent,"1,651 reviews",Classic King Room,1 king bed,,,,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 229,,Breakfast included
Clybaun Hotel,"Salthill, Galway",,8,Very Good,"3,375 reviews",Standard Double/Twin Room,Beds: 1 double or 2 twins,Free cancellation,– pay at the property,No prepayment needed,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 269,,
The Gateway Hotel,Dundalk,,8.5,Very Good,"1,288 reviews",Twin Room,2 full beds,Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 208,,
Aherlow House Hotel & Lodges,Aherlow,,8.2,Very Good,"1,283 reviews",Twin Room,"2 beds (1 twin, 1 full)",Free cancellation,– pay at the property,No prepayment needed,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 185,,Breakfast included
Woodford Dolmen Hotel Carlow,Carlow,,8.2,Very Good,"1,479 reviews",Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 209,,Breakfast included
Arlington Hotel O'Connell Bridge,"Dublin City Centre, Dublin",,8,Very Good,"6,757 reviews",Standard Double Room,1 full bed,,,,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 255,Location 9.6,
Dingle Bay Hotel,Dingle,,8.8,Excellent,"1,421 reviews",Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 1 room left at this price on our site,"1 night, 2 adults",€ 259,Location 9.7,Breakfast included
The Fleet,"Temple Bar, Dublin",,8.4,Very Good,"5,950 reviews",Deluxe Double Room,1 full bed,,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 374,Location 9.6,
Clayton Hotel Charlemont,"Dublin City Centre, Dublin",Sustainability certification,8.7,Excellent,"5,123 reviews",Deluxe Double,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 1 room left at this price on our site,"1 night, 2 adults",€ 259,,
Maldron Hotel Kevin Street,"Dublin City Centre, Dublin",Sustainability certification,8.2,Very Good,"6,926 reviews",Deluxe Twin Room,2 twin beds,Free cancellation,– pay at the property,No prepayment needed,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 315,,
Staycity Aparthotels Dublin City Quay,"Dublin City Centre, Dublin",•  •  •,8.6,Excellent,"6,202 reviews",Studio,Multiple bed types,Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 300,,
Knightsbrook Hotel & Golf Resort,Trim,,7.7,Good,"1,050 reviews",Deluxe Twin Room,2 twin beds,Free cancellation,– pay at the property,No prepayment needed,Only 1 room left at this price on our site,"1 night, 2 adults",€ 259,,
Carton House A Fairmont Managed hotel,Maynooth,,9,Wonderful,885 reviews,Fairmont Signature Suite,1 king bed,Free cancellation,– pay at the property,No prepayment needed,Only 1 left at this price on our site,"1 night, 2 adults","€ 4,020",Location 9.4,
Clayton Hotel Silver Springs,Cork,Sustainability certification,7.5,Good,"2,619 reviews",Deluxe Double Room,1 full bed,,,,,"1 night, 2 adults",€ 170,,
The Samuel Hotel,"Dublin City Centre, Dublin",Sustainability certification,8.5,Very Good,"9,671 reviews",Deluxe Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 339,,
Armada Hotel,Spanish Point,,9.1,Wonderful,816 reviews,Twin Room,"2 beds (1 twin, 1 full)",,,,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 336,Location 9.7,Breakfast included
An Grianan Hotel,Burt,,8.9,Excellent,"1,083 reviews",Double or Twin Room,Beds: 1 double or 2 twins,Free cancellation,– pay at the property,No prepayment needed,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 162,,Breakfast included
Emmet Hotel,Clonakilty,,8.7,Excellent,776 reviews,Family Room,"3 beds (2 twins, 1 full)",Free cancellation,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 269,Location 9.6,
Kildare House Hotel,Kildare,,8.3,Very Good,"1,345 reviews",Double Room,1 full bed,,,,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 176,,
The Spencer Hotel,"Dublin City Centre, Dublin",,8.4,Very Good,"3,838 reviews",Classic Queen Room,1 queen bed,Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 268,,
"Holiday Inn Express Dublin City Centre, an IHG Hotel","Parnell Square, Dublin",,8.5,Very Good,"6,960 reviews",Room allocated on arrival,1 queen bed,,,,Only 5 rooms left at this price on our site,"1 night, 2 adults",€ 283,Location 9.5,Breakfast included
Radisson Blu St. Helen's Hotel,Stillorgan,Sustainability certification,8.2,Very Good,"2,920 reviews",Standard Room,Beds: 1 double or 2 twins,,,,,"1 night, 2 adults",€ 216,,
The Old Quarter Townhouse,"Limerick City Centre, Limerick",,8.2,Very Good,"5,693 reviews",Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 219,,
Temple Bar Hotel,"Temple Bar, Dublin",,8.2,Very Good,"4,791 reviews",Budget Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 399,Location 9.6,
The Address Connolly,"Dublin City Centre, Dublin",,8.1,Very Good,"4,167 reviews",Double Room,1 king bed,Free cancellation,,,,"1 night, 2 adults",€ 342,,
Maldron Hotel Parnell Square,"Parnell Square, Dublin",Sustainability certification,8.3,Very Good,"9,740 reviews",Deluxe Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 359,,
Mill Park Hotel,Donegal,,9,Wonderful,"2,975 reviews",Triple Room,"2 beds (1 twin, 1 full)",,,,,"1 night, 2 adults",€ 225,,Breakfast included
Drury Court Hotel,"Saint Stephen's Green, Dublin",,9,Wonderful,"3,725 reviews",Twin Room,2 twin beds,Free cancellation,– pay at the property,No prepayment needed,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 289,Location 9.8,
Westenra Arms Hotel,Monaghan,Sustainability certification,8.4,Very Good,810 reviews,Standard Double Room,1 full bed,,,,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 185,Location 9.4,
Ballyliffin Hotel,Ballyliffin,,8,Very Good,642 reviews,Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 180,,Breakfast included
Iveagh Garden Hotel,"Saint Stephen's Green, Dublin",,8.6,Excellent,"3,951 reviews",Deluxe Double Room,1 queen bed,,,,,"1 night, 2 adults",€ 278,Location 9.4,
Great National Hotel Ballina,Ballina,,7.8,Good,"1,984 reviews",Deluxe Double Room,1 king bed,Free cancellation,– pay at the property,No prepayment needed,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 189,,
Jackson's Hotel & Leisure Centre,Ballybofey,,8.1,Very Good,"1,146 reviews",Double or Twin Room,Beds: 1 double or 2 twins,Free cancellation,– pay at the property,No prepayment needed,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 194,,
Hotel 7,"Parnell Square, Dublin",Sustainability certification,8.9,Excellent,"4,415 reviews",Twin Room,2 twin beds,Free cancellation,– pay at the property,No prepayment needed,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 329,,
Temple Bar Inn,"Temple Bar, Dublin",,8.5,Very Good,"4,662 reviews",Twin Room,2 twin beds,Free cancellation,– pay at the property,No prepayment needed,Only 1 room left at this price on our site,"1 night, 2 adults",€ 269,Location 9.6,
Hibernian Hotel & Leisure Centre,Mallow,,7.3,Good,857 reviews,Standard Triple Room,"2 beds (1 twin, 1 queen)",Free cancellation,– pay at the property,No prepayment needed,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 176,,
Inishowen Gateway Hotel,Buncrana,,8.4,Very Good,"1,048 reviews",Double or Twin Room,Multiple bed types,,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 179,,
Westport Country Lodge Hotel,Westport,,8.2,Very Good,"1,266 reviews",Twin Room,"2 beds (1 twin, 1 king)",,,,Only 7 rooms left at this price on our site,"1 night, 2 adults",€ 219,,Breakfast included
The Ashe Hotel,Tralee,,9,Wonderful,"1,937 reviews",Deluxe  Super Twin Room,2 twin beds,,,,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 280,Location 9.4,Breakfast included
Dillon’s Hotel,Letterkenny,Sustainability certification,8.5,Very Good,"2,067 reviews",Deluxe Family Room,Multiple bed types,Free cancellation,– pay at the property,No prepayment needed,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 300,Location 9.4,Breakfast included
Trim Castle Hotel,Trim,,8.5,Very Good,"1,223 reviews",Deluxe Double Room,1 full bed,,,,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 260,Location 9.3,Breakfast included
The Hendrick Smithfield,"Dublin City Centre, Dublin",Sustainability certification,7.9,Good,"5,861 reviews",Double Room,1 queen bed,,,,,"1 night, 2 adults",€ 251,,
NYX Hotel Dublin Portobello,"Dublin City Centre, Dublin",,8.8,Excellent,"1,768 reviews",Superior King Room,1 king bed,Free cancellation,,,,"1 night, 2 adults",€ 296,,
Kettles Country House Hotel,Swords,,8.6,Excellent,"1,910 reviews",Triple Room,"2 beds (1 twin, 1 full)",Free cancellation,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 239,,
Shamrock Lodge Hotel,Athlone,,8.4,Very Good,"2,116 reviews",Two Bedroom Suite (4 Adults),Multiple bed types,Free cancellation,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 320,,
Forty Four Main Street,Swords,,8.1,Very Good,"1,553 reviews",Standard Double Room,1 full bed,,,,,"1 night, 2 adults",€ 220,,
Grand Canal Hotel,"Ballsbridge, Dublin",,8.7,Excellent,"5,330 reviews",Twin Room,2 twin beds,Free cancellation,,,,"1 night, 2 adults",€ 240,,
Hampton By Hilton Dublin City Centre,"Dublin City Centre, Dublin",Sustainability certification,8.6,Excellent,"6,603 reviews",Queen Room,1 queen bed,,,,,"1 night, 2 adults",€ 265,,Breakfast included
The Frontier Hotel,Bridgend,,8.3,Very Good,564 reviews,Double Room,1 full bed,,,,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 131,,Breakfast included
Glenroyal Hotel,Maynooth,,8.1,Very Good,"3,587 reviews",Deluxe King Room,1 full bed,Free cancellation,,,Only 7 rooms left at this price on our site,"1 night, 2 adults",€ 248,,
Lahinch Coast Hotel and Suites,Lahinch,,8.6,Excellent,"2,568 reviews",Twin Room,2 twin beds,Free cancellation,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 184,Location 9.5,
Ballymascanlon Hotel and Golf Resort,Dundalk,,8.5,Very Good,"1,085 reviews",Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 1 room left at this price on our site,"1 night, 2 adults",€ 265,,Breakfast included
The Ellison,Castlebar,,8.5,Very Good,"1,303 reviews",Deluxe King Room,1 queen bed,Free cancellation,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 274,,
"Maldron Hotel, Newlands Cross",Clondalkin,Sustainability certification,8.2,Very Good,135 reviews,Deluxe Double Room,1 full bed,Free cancellation,,,,"1 night, 2 adults",€ 214,,
Clayton Hotel Liffey Valley,Clondalkin,Sustainability certification,7.3,Good,947 reviews,Deluxe Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 309,,
Travelodge Dublin Airport North 'Swords',Swords,,6.9,Review score,"4,753 reviews",Triple Room,"2 beds (1 twin, 1 full)",,,,,"1 night, 2 adults",€ 189,,
Diamond Coast Hotel,Enniscrone,,8.7,Excellent,727 reviews,Family Room,2 full beds,Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 280,,Breakfast included
McWilliam Park Hotel,Claremorris,,8.1,Very Good,"1,372 reviews",Double Room,1 full bed,,,,,"1 night, 2 adults",€ 161,,
Kee's Hotel,Stranorlar,,8.3,Very Good,"2,028 reviews",Double Room,1 full bed,,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 155,,Breakfast included
"Castlecourt Hotel, Spa & Leisure",Westport,Sustainability certification,8.7,Excellent,"1,562 reviews",Double Room,1 full bed,,,,,"1 night, 2 adults",€ 389,Location 9.5,Breakfast included
The Heritage,Killenard,Sustainability certification,8.7,Excellent,"1,920 reviews",Standard Double Room,1 king bed,,,,,"1 night, 2 adults",€ 303,,Breakfast included
Maldron Hotel Merrion Road,Dublin,Sustainability certification,8.6,Excellent,"3,515 reviews",Deluxe Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 259,,
Hilton Garden Inn Dublin City Centre,"Dublin City Centre, Dublin",Sustainability certification,8.3,Very Good,"4,683 reviews",King Room,1 king bed,,,,Only 6 rooms left at this price on our site,"1 night, 2 adults",€ 281,,
Commodore Hotel,Cobh,,8.2,Very Good,"2,226 reviews",Superior Queen Room,1 full bed,Free cancellation,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 195,Location 9.5,
Camden Court Hotel,"Dublin City Centre, Dublin",,8.6,Excellent,"6,769 reviews",Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 5 rooms left at this price on our site,"1 night, 2 adults",€ 393,,
Midleton Park Hotel,Midleton,,8.3,Very Good,"1,979 reviews",Classic Double Room,1 queen bed,Free cancellation,,,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 189,,
Grand Hotel,Malahide,,8.3,Very Good,"3,067 reviews",Superior Twin Room,2 twin beds,Free cancellation,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 285,Location 9.5,
Albany House,"Saint Stephen's Green, Dublin",,8.3,Very Good,"2,991 reviews",Double Room,1 full bed,Free cancellation,,,Only 5 rooms left at this price on our site,"1 night, 2 adults",€ 315,Location 9.3,
Absolute Hotel Limerick,"Limerick City Centre, Limerick",,8.8,Excellent,"3,253 reviews",Classic Double Room,1 queen bed,Free cancellation,,,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 269,,
The Kenmare Bay Hotel & Leisure Resort,Kenmare,,8.2,Very Good,"2,031 reviews",Deluxe Double and Single Bed Room,"2 beds (1 twin, 1 full)",Free cancellation,– pay at the property,No prepayment needed,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 239,,
Blooms Hotel,"Temple Bar, Dublin",,7.5,Good,"5,399 reviews",Double Room,1 full bed,Free cancellation,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 279,Location 9.5,
Ballina Manor Hotel,Ballina,,8,Very Good,"1,281 reviews",Double Room with Street View,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 269,,Breakfast included
Redcastle Hotel,Moville,,8.1,Very Good,"1,722 reviews",Double or Twin Room,Multiple bed types,,,,Only 5 rooms left at this price on our site,"1 night, 2 adults",€ 268,,
Granville Hotel,Waterford,,8.8,Excellent,"3,308 reviews",King Room,1 king bed,Free cancellation,– pay at the property,No prepayment needed,Only 1 room left at this price on our site,"1 night, 2 adults",€ 225,Location 9.6,
Loughrea Hotel & Spa,Loughrea,,8.2,Very Good,822 reviews,Deluxe King Room,1 king bed,,,,Only 6 rooms left at this price on our site,"1 night, 2 adults",€ 214,,Breakfast included
Crown Quarter,Wexford,,8.5,Very Good,"1,763 reviews",Double or Twin Room,Beds: 1 double or 2 twins,,,,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 189,Location 9.4,
Old Ground Hotel,Ennis,,8.8,Excellent,"1,332 reviews",Double or Twin Room,Beds: 1 double or 2 twins,Free cancellation,– pay at the property,No prepayment needed,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 225,Location 9.6,
Maldron Hotel Wexford,Wexford,Sustainability certification,7.6,Good,"2,181 reviews",Triple Room,2 full beds,Free cancellation,– pay at the property,No prepayment needed,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 205,,
Wren Urban Nest,"Dublin City Centre, Dublin",,8.8,Excellent,"7,767 reviews",Cozy Nest,1 full bed,Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 269,Location 9.8,
The Great Northern Hotel,Bundoran,,7.5,Good,"1,118 reviews",Double Room,1 full bed,,,,,"1 night, 2 adults",€ 215,,Breakfast included
Osprey Hotel,Naas,Sustainability certification,8,Very Good,"1,684 reviews",Classic Double Room,1 king bed,,,,,"1 night, 2 adults",€ 250,,Breakfast included
The Trinity City Hotel,"Dublin City Centre, Dublin",,8.3,Very Good,"4,417 reviews",Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 296,Location 9.4,
The Ritz House,Lisdoonvarna,,8.3,Very Good,366 reviews,Standard Family Room,2 full beds,,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 275,,Breakfast included
Kinsale Hotel & Spa,Kinsale,,8.4,Very Good,"1,789 reviews",Classic Family Room (2 Adults + 1 Child),"2 beds (1 twin, 1 full)",Free cancellation,– pay at the property,No prepayment needed,Only 1 room left at this price on our site,"1 night, 2 adults",€ 319,,Breakfast included
The Harbour Inn,Buncrana,,9.1,Wonderful,"1,738 reviews",Triple Room,3 twin beds,Free cancellation,– pay at the property,No prepayment needed,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 155,,
Bracken Court Hotel,Balbriggan,,8.3,Very Good,"1,437 reviews",Double Room,1 full bed,Free cancellation,,,Only 6 rooms left at this price on our site,"1 night, 2 adults",€ 204,,Breakfast included
Herbert Park Hotel and Park Residence,"Ballsbridge, Dublin",,8.6,Excellent,"5,089 reviews",Double room,2 full beds,Free cancellation,,,,"1 night, 2 adults",€ 256,,
Hotel Woodstock Ennis,Ennis,,7.8,Good,"1,151 reviews",Superior Double Room,1 queen bed,,,,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 215,,
Oranmore Lodge Hotel Conference And Leisure Centre Galway,Oranmore,,8.1,Very Good,"2,408 reviews",Double or Twin Room,2 full beds,Free cancellation,,,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 205,,
Radisson Blu Royal Hotel Dublin,"Dublin City Centre, Dublin",Sustainability certification,8.8,Excellent,"2,803 reviews",Premium Room,1 king bed,,,,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 401,Location 9.3,
Shearwater Hotel & Spa,Ballinasloe,,8.5,Very Good,652 reviews,Double or Twin Room,Beds: 1 double or 2 twins,Free cancellation,– pay at the property,No prepayment needed,Only 1 room left at this price on our site,"1 night, 2 adults",€ 149,,
Tulfarris Hotel and Golf Resort,Blessington,,8.4,Very Good,758 reviews,Deluxe Double Room,1 full bed,Free cancellation,,,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 259,,Breakfast included
Cliffs of Moher Hotel,Liscannor,,8.7,Excellent,845 reviews,Standard Double or Twin Room,"2 beds (1 twin, 1 full)",Free cancellation,– pay at the property,No prepayment needed,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 220,,
Breaffy House Hotel and Spa,Castlebar,,8.4,Very Good,"1,646 reviews",Family Room (2 Adults + 1 Child),"2 beds (1 twin, 1 full)",Free cancellation,,,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 244,,Breakfast included
Clayton Hotel Leopardstown,Leopardstown,Sustainability certification,7.7,Good,"4,894 reviews",Deluxe Family Room,"3 beds (2 twins, 1 full)",Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 218,,
Harding Hotel,"Temple Bar, Dublin",,8.6,Excellent,"3,429 reviews",Double or Twin Room,Multiple bed types,Free cancellation,– pay at the property,No prepayment needed,Only 1 room left at this price on our site,"1 night, 2 adults",€ 259,Location 9.6,
Staycity Aparthotels Dublin Tivoli,"Dublin City Centre, Dublin",•  •,8.9,Excellent,"5,780 reviews",Studio,1 queen bed,,,,,"1 night, 2 adults",€ 256,,
Mespil Hotel,"Ballsbridge, Dublin",,8.9,Excellent,"3,398 reviews",Superior King Room,1 king bed,Free cancellation,– pay at the property,No prepayment needed,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 229,,
Ard Ri House Hotel,Tuam,,8.2,Very Good,322 reviews,Twin Room,Multiple bed types,Free cancellation,– pay at the property,No prepayment needed,Only 5 rooms left at this price on our site,"1 night, 2 adults",€ 209,,Breakfast included
Talbot Hotel Stillorgan,Stillorgan,Sustainability certification,8,Very Good,"3,428 reviews",Double Room,1 full bed,Free cancellation,,,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 169,,
Errigal Country House Hotel,Cootehill,,7.7,Good,391 reviews,Twin Room,"2 beds (1 twin, 1 full)",Free cancellation,– pay at the property,No prepayment needed,Only 6 rooms left at this price on our site,"1 night, 2 adults",€ 207,,Breakfast included
"Crowne Plaza Dublin Airport, an IHG Hotel",Santry,,8.7,Excellent,"1,887 reviews",Double or Twin Room,Beds: 1 double or 2 twins,,,,,"1 night, 2 adults",€ 215,,
Boyne Valley Hotel - Bed & Breakfast Only,Drogheda,,7.9,Good,"1,213 reviews",Superior Double Room,1 queen bed,Free cancellation,,,,"1 night, 2 adults",€ 205,,Breakfast included
Murphy's Hotel,Tobercurry,,8.3,Very Good,560 reviews,Twin Room,Multiple bed types,Free cancellation,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 146,,Breakfast included
Seven Oaks Hotel,Carlow,,7.8,Good,900 reviews,Double Room,1 full bed,Free cancellation,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 199,,Breakfast included
Cassidys Hotel,"Parnell Square, Dublin",,8.3,Very Good,"4,364 reviews",Double Room,1 full bed,,,,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 269,Location 9.3,
The Shirley Arms Hotel,Carrickmacross,,8.9,Excellent,499 reviews,Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 6 rooms left at this price on our site,"1 night, 2 adults",€ 209,,Breakfast included
Aghadoe Heights Hotel & Spa,"Aghadoe, Killarney",,8.5,Very Good,"1,178 reviews",Garden Superior Room,1 king bed,,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 549,,Breakfast included
"Westport Plaza Hotel, Spa & Leisure",Westport,Sustainability certification,8.8,Excellent,"1,011 reviews",King Room,1 king bed,,,,,"1 night, 2 adults",€ 297,Location 9.6,Breakfast included
Athlone Springs Hotel,Athlone,Sustainability certification,8.3,Very Good,"1,475 reviews",Classic double room,1 full bed,Free cancellation,,,,"1 night, 2 adults",€ 244,,
Fitzpatrick's Tavern and Hotel,Cavan,,7.9,Good,190 reviews,Deluxe Double or Twin Room,Beds: 1 double or 2 twins,,,,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 125,,Breakfast included
Treacy's Hotel Wexford,Enniscorthy,,7.1,Good,733 reviews,Double Room,1 full bed,,,,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 179,,Breakfast included
Faithlegg Hotel,Waterford,,8.8,Excellent,"2,014 reviews",Twin Room,2 twin beds,Free cancellation,– pay at the property,No prepayment needed,Only 1 room left at this price on our site,"1 night, 2 adults",€ 309,,Breakfast included
Kilkenny Ormonde Hotel,"Kilkenny City Centre, Kilkenny",,8.1,Very Good,"2,508 reviews",Classic Room,"2 beds (1 twin, 1 queen)",Free cancellation,,,Only 5 rooms left at this price on our site,"1 night, 2 adults",€ 289,Location 9.5,
The Bowers Bar & Restaurant,Ballinrobe,,8.2,Very Good,357 reviews,Double Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 1 room left at this price on our site,"1 night, 2 adults",€ 110,,Breakfast included
Kilcoran Lodge Hotel & Leisure Centre,Cahir,,7.7,Good,617 reviews,Triple Room,"2 beds (1 twin, 1 full)",Free cancellation,– pay at the property,No prepayment needed,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 165,,
